"Gene Symbol"	"Gene Name"
"ZNF618"	"Zinc finger protein 618"
"DKFZp313A2432"	"Hypothetical protein DKFZp313A2432"
"UBE2J1"	"Ubiquitin-conjugating enzyme E2, J1 (UBC6 homolog, yeast)"
	"Transcribed locus"
"AYTL1"	"Acyltransferase like 1"
"B4GALNT3"	"Beta-1,4-N-acetyl-galactosaminyl transferase 3"
"PIGP"	"Phosphatidylinositol glycan anchor biosynthesis, class P"
"CCDC34"	"**Coiled-coil domain containing 34"
"NBPF1"	"Neuroblastoma breakpoint family, member 1"
"CCDC45"	"Coiled-coil domain containing 45"
"SSBP2"	"Single-stranded DNA binding protein 2"
	"Transcribed locus"
"CD4"	"CD4 molecule"
"RNF157"	"Ring finger protein 157"
	
	"Transcribed locus"
"HIF3A"	"Hypoxia inducible factor 3, alpha subunit"
	"Transcribed locus"
"C17orf45"	"Chromosome 17 open reading frame 45"
"LOC646214"	"Similar to p21-activated kinase 2"
"RP4-691N24.1"	"KIAA0980 protein"
"NDRG3"	"NDRG family member 3"
	
"GAN"	"**Giant axonal neuropathy (gigaxonin)"
	
"C9orf5"	"Chromosome 9 open reading frame 5"
"HPRT1"	"Hypoxanthine phosphoribosyltransferase 1 (Lesch-Nyhan syndrome)"
"EREG"	"Epiregulin"
"SLC22A4"	"**Solute carrier family 22 (organic cation transporter), member 4"
"BNIP2"	"BCL2/adenovirus E1B 19kDa interacting protein 2"
"PODXL"	"Podocalyxin-like"
"EPHX1"	"Epoxide hydrolase 1, microsomal (xenobiotic)"
"RARA"	"Retinoic acid receptor, alpha"
"ARID3A"	"AT rich interactive domain 3A (BRIGHT-like)"
"DNM1L"	"Dynamin 1-like"
"ITPR1"	"Inositol 1,4,5-triphosphate receptor, type 1"
"ESRRA"	"Estrogen-related receptor alpha"
"NFKBIB"	"Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta"
"ACBD3"	"Acyl-Coenzyme A binding domain containing 3"
"NPAT"	"Nuclear protein, ataxia-telangiectasia locus"
"PIK3CD"	"Phosphoinositide-3-kinase, catalytic, delta polypeptide"
"SPPL2B"	"Signal peptide peptidase-like 2B"
"SEPW1"	"Selenoprotein W, 1"
"PNOC"	"Prepronociceptin"
"CR2"	"Complement component (3d/Epstein Barr virus) receptor 2"
"HOXB13"	"Homeobox B13"
"MEP1A"	"**Meprin A, alpha (PABA peptide hydrolase)"
"MUC5AC"	"Mucin 5AC, oligomeric mucus/gel-forming"
"DDX23"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 23"
"PC"	"Pyruvate carboxylase"
	
"PPP1R13L"	"Protein phosphatase 1, regulatory (inhibitor) subunit 13 like"
"CCDC32"	"Coiled-coil domain containing 32"
	
"RHBDD3"	"Rhomboid domain containing 3"
"TNRC6B"	"Trinucleotide repeat containing 6B"
"MGC11257"	"Hypothetical protein MGC11257"
"C10orf58"	"Chromosome 10 open reading frame 58"
	"Transcribed locus"
"MAF"	"**V-maf musculoaponeurotic fibrosarcoma oncogene homolog (avian)"
	
"FRYL"	"FRY-like"
	
"UBTD2"	"Ubiquitin domain containing 2"
	"CDNA FLJ36574 fis, clone TRACH2012376"
"TBC1D19"	"TBC1 domain family, member 19"
	
"POLK"	"Polymerase (DNA directed) kappa"
"LRCH3"	"Leucine-rich repeats and calponin homology (CH) domain containing 3"
"CAMSAP1"	"Calmodulin regulated spectrin-associated protein 1"
"LOC730092"	"RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene"
	
"PREX1"	"Phosphatidylinositol 3,4,5-trisphosphate-dependent RAC exchanger 1"
	
"CDK7"	"Cyclin-dependent kinase 7 (MO15 homolog, Xenopus laevis, cdk-activating kinase)"
"THY1"	"Thy-1 cell surface antigen"
"FXYD3"	"FXYD domain containing ion transport regulator 3"
"MKI67"	"Antigen identified by monoclonal antibody Ki-67"
"IGL@"	"Immunoglobulin lambda locus"
"FOXA1"	"Forkhead box A1"
"TGFB3"	"Transforming growth factor, beta 3"
"ERBB3"	"V-erb-b2 erythroblastic leukemia viral oncogene homolog 3 (avian)"
"E2F1"	"**E2F transcription factor 1"
"FOS"	"V-fos FBJ murine osteosarcoma viral oncogene homolog"
"NQO1"	"**NAD(P)H dehydrogenase, quinone 1"
"MCM5"	"MCM5 minichromosome maintenance deficient 5, cell division cycle 46 (S. cerevisiae)"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	"Transcribed locus, strongly similar to XP_512371.2 kelch-like ECH-associated protein 1 [Pan troglodytes]"
	
	"Transcribed locus"
	"Transcribed locus"
	
	"Transcribed locus"
	
"LOC286109"	"Hypothetical protein LOC286109"
"DCLRE1C"	"DNA cross-link repair 1C (PSO2 homolog, S. cerevisiae)"
	"**Transcribed locus"
	"Transcribed locus"
"JRKL"	"Jerky homolog-like (mouse)"
"SLIT3"	"**Slit homolog 3 (Drosophila)"
	"Transcribed locus"
	
"GLT8D2"	"**Glycosyltransferase 8 domain containing 2"
"DDO"	"**D-aspartate oxidase"
"SLC5A12"	"Solute carrier family 5 (sodium/glucose cotransporter), member 12"
	"*mitoch. cont."
"FXYD4"	"FXYD domain containing ion transport regulator 4"
"STARD13"	"START domain containing 13"
	"Transcribed locus, strongly similar to XP_001173174.1 hypothetical protein isoform 3 [Pan troglodytes]"
"MAP3K7IP2"	"Mitogen-activated protein kinase kinase kinase 7 interacting protein 2"
"NOS1"	"Nitric oxide synthase 1 (neuronal)"
	"Transcribed locus"
	
"C1orf63"	"Chromosome 1 open reading frame 63"
	
	"Transcribed locus"
"LOC389328"	"Hypothetical LOC389328"
	"MRNA; cDNA DKFZp686P18215 (from clone DKFZp686P18215)"
	"Transcribed locus"
	
	"Transcribed locus"
	
"HSPA4L"	"Heat shock 70kDa protein 4-like"
	"Transcribed locus"
"C7"	"Complement component 7"
	"Transcribed locus"
"SYTL2"	"Synaptotagmin-like 2"
	"Transcribed locus"
"HMGCL"	"3-hydroxymethyl-3-methylglutaryl-Coenzyme A lyase (hydroxymethylglutaricaciduria)"
"CA1"	"Carbonic anhydrase I"
"EVX1"	"Even-skipped homeobox 1"
	"**Transcribed locus"
"ZNF74"	"Zinc finger protein 74"
	"Transcribed locus"
	
	"Transcribed locus"
	
	"Transcribed locus"
	"Transcribed locus"
	"**Transcribed locus"
"TP53I11"	"Tumor protein p53 inducible protein 11"
"LOC286299"	"**Hypothetical protein LOC286299"
"LMAN1"	"**Lectin, mannose-binding, 1"
	"Transcribed locus"
	"Transcribed locus"
	
	
"hCG_25653"	"HCG25653"
	
"ANKS4B"	"Ankyrin repeat and sterile alpha motif domain containing 4B"
"PAQR3"	"**Progestin and adipoQ receptor family member III"
	"Transcribed locus"
	"Transcribed locus"
"CANT1"	"Calcium activated nucleotidase 1"
"MUC13"	"Mucin 13, cell surface associated"
"CHRFAM7A"	"**CHRNA7 (cholinergic receptor, nicotinic, alpha 7, exons 5-10) and FAM7A (family with sequence similarity 7A, exons A-E) fusion"
	"Transcribed locus"
	
"PPP1R3E"	"**Protein phosphatase 1, regulatory (inhibitor) subunit 3E"
	"Transcribed locus"
"GRINA"	"Glutamate receptor, ionotropic, N-methyl D-asparate-associated protein 1 (glutamate binding)"
	"Transcribed locus"
"RLN1"	"Relaxin 1"
"HORMAD1"	"HORMA domain containing 1"
"CALML5"	"Calmodulin-like 5"
"LOC149837"	"Hypothetical LOC149837"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
"URG4"	"Up-regulated gene 4"
"CCKBR"	"Cholecystokinin B receptor"
	"Transcribed locus, strongly similar to XP_001154417.1 hypothetical protein [Pan troglodytes]"
	
	
	"Transcribed locus"
	"Transcribed locus"
"IQCE"	"**IQ motif containing E"
"LOC285043"	"Hypothetical protein LOC285043"
	
	
	"Transcribed locus"
	
	
"ZNF81"	"Zinc finger protein 81"
"ARL4C"	"ADP-ribosylation factor-like 4C"
	
"ARL4C"	"ADP-ribosylation factor-like 4C"
	"Transcribed locus"
	"Transcribed locus"
	"Transcribed locus"
"LOC253264"	"Hypothetical protein LOC253264"
	"Transcribed locus"
	"**CDNA FLJ38922 fis, clone NT2NE2011691"
"FBXW8"	"F-box and WD repeat domain containing 8"
"TMEM17"	"Transmembrane protein 17"
	"Transcribed locus, weakly similar to NP_002283.3 beta 2 precursor [Homo sapiens]"
"LRP2"	"**Low density lipoprotein-related protein 2"
"TNFSF10"	"Tumor necrosis factor (ligand) superfamily, member 10"
	"**CDNA clone IMAGE:4795796"
"FCHSD2"	"FCH and double SH3 domains 2"
"LOC132430"	"**Similar to poly(A) binding protein, cytoplasmic 4 (inducible form)"
"DNAJC10"	"DnaJ (Hsp40) homolog, subfamily C, member 10"
"C1QTNF7"	"C1q and tumor necrosis factor related protein 7"
	"Homo sapiens, clone IMAGE:4690669, mRNA"
	"Transcribed locus"
	"Transcribed locus"
	
	"Transcribed locus"
	"Transcribed locus"
	
"GBA"	"Glucosidase, beta; acid (includes glucosylceramidase)"
	
	"Transcribed locus"
	
	"*mitoch. cont. ESTs, Weakly similar to ALUF_HUMAN !!!! ALU CLASS F WARNING ENTRY !!! [H.sapiens]"
	"Full length insert cDNA clone YB65G12"
	
"KLK3"	"Kallikrein-related peptidase 3"
"HRAS"	"V-Ha-ras Harvey rat sarcoma viral oncogene homolog"
"HRAS"	"V-Ha-ras Harvey rat sarcoma viral oncogene homolog"
"ACPP"	"Acid phosphatase, prostate"
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
"KNG1"	"Kininogen 1"
"KRT13"	"Keratin 13"
	
"IL2RG"	"Interleukin 2 receptor, gamma (severe combined immunodeficiency)"
"IRF2"	"Interferon regulatory factor 2"
"ICAM3"	"Intercellular adhesion molecule 3"
"KLF4"	"Kruppel-like factor 4 (gut)"
"VEGFC"	"Vascular endothelial growth factor C"
"KCNK1"	"Potassium channel, subfamily K, member 1"
"MED28"	"**Mediator of RNA polymerase II transcription, subunit 28 homolog (S. cerevisiae)"
"TGM2"	"**Transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)"
"CTCF"	"CCCTC-binding factor (zinc finger protein)"
"YIPF6"	"Yip1 domain family, member 6"
"SMCR7L"	"**Smith-Magenis syndrome chromosome region, candidate 7-like"
"WIPF2"	"WAS/WASL interacting protein family, member 2"
"TIAM1"	"T-cell lymphoma invasion and metastasis 1"
"CPD"	"Carboxypeptidase D"
"PICALM"	"Phosphatidylinositol binding clathrin assembly protein"
"ADIPOQ"	"Adiponectin, C1Q and collagen domain containing"
"ADD1"	"Adducin 1 (alpha)"
"ILVBL"	"IlvB (bacterial acetolactate synthase)-like"
"CXorf6"	"Chromosome X open reading frame 6"
"APBA2"	"Amyloid beta (A4) precursor protein-binding, family A, member 2 (X11-like)"
"ZRSR2"	"**Zinc finger (CCCH type), RNA-binding motif and serine/arginine rich 2"
"NAB2"	"NGFI-A binding protein 2 (EGR1 binding protein 2)"
"KHK"	"Ketohexokinase (fructokinase)"
"MAN1A1"	"Mannosidase, alpha, class 1A, member 1"
"PPP1R11"	"Protein phosphatase 1, regulatory (inhibitor) subunit 11"
"MAPK6"	"Mitogen-activated protein kinase 6"
"MAP7"	"Microtubule-associated protein 7"
"CXCL2"	"Chemokine (C-X-C motif) ligand 2"
"GCSH"	"Glycine cleavage system protein H (aminomethyl carrier)"
"GCLC"	"Glutamate-cysteine ligase, catalytic subunit"
"SLC2A3"	"Solute carrier family 2 (facilitated glucose transporter), member 3"
"GSN"	"Gelsolin (amyloidosis, Finnish type)"
"LRRFIP1"	"Leucine rich repeat (in FLII) interacting protein 1"
"AHCY"	"S-adenosylhomocysteine hydrolase"
"S100B"	"S100 calcium binding protein B"
"RING1"	"Ring finger protein 1"
"RPS6KA1"	"Ribosomal protein S6 kinase, 90kDa, polypeptide 1"
"CD59"	"**CD59 molecule, complement regulatory protein"
"OXA1L"	"Oxidase (cytochrome c) assembly 1-like"
"PPP4C"	"**Protein phosphatase 4 (formerly X), catalytic subunit"
"PPP2CA"	"Protein phosphatase 2 (formerly 2A), catalytic subunit, alpha isoform"
"PRKAR2B"	"Protein kinase, cAMP-dependent, regulatory, type II, beta"
"PRKCSH"	"Protein kinase C substrate 80K-H"
"PEBP1"	"Phosphatidylethanolamine binding protein 1"
"PTGER4"	"Prostaglandin E receptor 4 (subtype EP4)"
"USP10"	"Ubiquitin specific peptidase 10"
"FAM120A"	"Family with sequence similarity 120A"
"KIAA0174"	"KIAA0174"
"SUPT6H"	"Suppressor of Ty 6 homolog (S. cerevisiae)"
"KIAA0152"	"KIAA0152"
"ARHGEF7"	"Rho guanine nucleotide exchange factor (GEF) 7"
"MCM2"	"MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)"
"KIAA0020"	"KIAA0020"
"DHCR24"	"24-dehydrocholesterol reductase"
"SSPN"	"**Sarcospan (Kras oncogene-associated gene)"
"LOC151579"	"**Similar to basic leucine zipper and W2 domains 1"
"VEZF1"	"Vascular endothelial zinc finger 1"
"WRB"	"**Tryptophan rich basic protein"
"ZMYND11"	"Zinc finger, MYND domain containing 11"
"C16orf35"	"Chromosome 16 open reading frame 35"
"MVP"	"Major vault protein"
	
"RNF113A"	"Ring finger protein 113A"
"HDHD1A"	"Haloacid dehalogenase-like hydrolase domain containing 1A"
"GM2A"	"GM2 ganglioside activator"
"GGTLA1"	"Gamma-glutamyltransferase-like activity 1"
"GRSF1"	"G-rich RNA sequence binding factor 1"
"FVT1"	"Follicular lymphoma variant translocation 1"
"RBM38"	"RNA binding motif protein 38"
"TRFP"	"Trf (TATA binding protein-related factor)-proximal homolog (Drosophila)"
"LRRC28"	"Leucine rich repeat containing 28"
"STARD10"	"START domain containing 10"
	"Transcribed locus"
"MLL3"	"Myeloid/lymphoid or mixed-lineage leukemia 3"
"UBE4B"	"Ubiquitination factor E4B (UFD2 homolog, yeast)"
"ISCA1"	"Iron-sulfur cluster assembly 1 homolog (S. cerevisiae)"
"RSF1"	"Remodeling and spacing factor 1"
"NDEL1"	"NudE nuclear distribution gene E homolog (A. nidulans)-like 1"
"OMA1"	"OMA1 homolog, zinc metallopeptidase (S. cerevisiae)"
"HACE1"	"HECT domain and ankyrin repeat containing, E3 ubiquitin protein ligase 1"
"TRAK2"	"Trafficking protein, kinesin binding 2"
"GPM6B"	"Glycoprotein M6B"
"C19orf53"	"Chromosome 19 open reading frame 53"
"DLG5"	"Discs, large homolog 5 (Drosophila)"
"PDE4DIP"	"Phosphodiesterase 4D interacting protein (myomegalin)"
"RBPJ"	"Recombination signal binding protein for immunoglobulin kappa J region"
"TMEM50B"	"**Transmembrane protein 50B"
"GJA7"	"**Gap junction protein, alpha 7, 45kDa"
"GSPT2"	"G1 to S phase transition 2"
"FMN2"	"Formin 2"
"RP5-1022P6.2"	"Hypothetical protein KIAA1434"
"GFM2"	"G elongation factor, mitochondrial 2"
"DRG1"	"Developmentally regulated GTP binding protein 1"
	"Transcribed locus, weakly similar to XP_341471.3 similar to WD repeat domain 17 [Rattus norvegicus]"
	
	"Transcribed locus"
	"Transcribed locus"
	
"ARHGAP27"	"Rho GTPase activating protein 27"
"TCF7L1"	"Transcription factor 7-like 1 (T-cell specific, HMG-box)"
"TOP2A"	"Topoisomerase (DNA) II alpha 170kDa"
	"Transcribed locus"
"DNAPTP6"	"DNA polymerase-transactivated protein 6"
"ZNF606"	"Zinc finger protein 606"
	"Transcribed locus, weakly similar to XP_001059845.1 similar to Serine/threonine-protein kinase tousled-like 1 (Tousled-like kinase 1) [Rattus norvegicus]"
"C20orf19"	"Chromosome 20 open reading frame 19"
"C12orf32"	"Chromosome 12 open reading frame 32"
"DIS3"	"DIS3 mitotic control homolog (S. cerevisiae)"
"PCNP"	"PEST proteolytic signal containing nuclear protein"
"ITPR2"	"Inositol 1,4,5-triphosphate receptor, type 2"
	"CDNA FLJ30378 fis, clone BRACE2007953"
"DSCR4"	"Down syndrome critical region gene 4"
"LOC402110"	"Hypothetical LOC402110"
"PIGC"	"Phosphatidylinositol glycan anchor biosynthesis, class C"
"ZEB1"	"Zinc finger E-box binding homeobox 1"
	"CDNA clone IMAGE:6106200"
"IBRDC1"	"**IBR domain containing 1"
	"Transcribed locus"
	
"MTERF"	"**Mitochondrial transcription termination factor"
"ACVR2A"	"Activin A receptor, type IIA"
	
	
	
	"Full length insert cDNA clone YP97D11"
	"Transcribed locus"
	
"PPHLN1"	"Periphilin 1"
	
	
"LOC253039"	"**Hypothetical protein LOC253039"
	
	"MRNA; cDNA DKFZp547L2215 (from clone DKFZp547L2215)"
	"**CDNA FLJ34031 fis, clone FCBBF2003895"
	"Transcribed locus"
"PRPF38B"	"PRP38 pre-mRNA processing factor 38 (yeast) domain containing B"
"GPAM"	"Glycerol-3-phosphate acyltransferase, mitochondrial"
	"**Transcribed locus"
"C21orf56"	"Chromosome 21 open reading frame 56"
"MYO1B"	"Myosin IB"
	"Transcribed locus"
"CAMTA1"	"Calmodulin binding transcription activator 1"
"SLC33A1"	"Solute carrier family 33 (acetyl-CoA transporter), member 1"
"WDR32"	"WD repeat domain 32"
"C6orf120"	"Chromosome 6 open reading frame 120"
"DBNDD2"	"Dysbindin (dystrobrevin binding protein 1) domain containing 2"
"CEP350"	"Centrosomal protein 350kDa"
"TRIM52"	"Tripartite motif-containing 52"
	"Clone DNA93013 RVLA1944 (UNQ1944)"
"GSTA2"	"**Glutathione S-transferase A2"
	
"ODF2L"	"Outer dense fiber of sperm tails 2-like"
	
"EPRS"	"Glutamyl-prolyl-tRNA synthetase"
"SLC25A37"	"**Solute carrier family 25, member 37"
"MDM2"	"Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse)"
"BAT3"	"HLA-B associated transcript 3"
"IRF2"	"Interferon regulatory factor 2"
"INHBA"	"Inhibin, beta A (activin A, activin AB alpha polypeptide)"
"CEBPD"	"CCAAT/enhancer binding protein (C/EBP), delta"
"COMP"	"Cartilage oligomeric matrix protein"
"ATP5I"	"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit E"
	
"SLC4A3"	"Solute carrier family 4, anion exchanger, member 3"
"APP"	"Amyloid beta (A4) precursor protein (peptidase nexin-II, Alzheimer disease)"
"SHANK3"	"SH3 and multiple ankyrin repeat domains 3"
"C7orf4"	"Chromosome 7 open reading frame 4"
"SLC26A6"	"Solute carrier family 26, member 6"
"CNOT2"	"**CCR4-NOT transcription complex, subunit 2"
"PELO"	"Pelota homolog (Drosophila)"
"C4orf31"	"Chromosome 4 open reading frame 31"
"NUDT13"	"Nudix (nucleoside diphosphate linked moiety X)-type motif 13"
"C1orf149"	"Chromosome 1 open reading frame 149"
"SH3TC2"	"SH3 domain and tetratricopeptide repeats 2"
"MTCH2"	"Mitochondrial carrier homolog 2 (C. elegans)"
	
"SOX7"	"SRY (sex determining region Y)-box 7"
"EVI5"	"Ecotropic viral integration site 5"
"ACAA2"	"Acetyl-Coenzyme A acyltransferase 2 (mitochondrial 3-oxoacyl-Coenzyme A thiolase)"
"SSR3"	"Signal sequence receptor, gamma (translocon-associated protein gamma)"
"DKFZP434L187"	"DKFZP434L187 protein"
"PHCA"	"**Phytoceramidase, alkaline"
"C20orf77"	"Chromosome 20 open reading frame 77"
"BMP7"	"**Bone morphogenetic protein 7 (osteogenic protein 1)"
	"**CDNA FLJ38498 fis, clone FELNG2000241"
	"CDNA clone IMAGE:5314178"
"MGC14376"	"**Hypothetical protein MGC14376"
"PHF17"	"PHD finger protein 17"
"SLC30A5"	"Solute carrier family 30 (zinc transporter), member 5"
	"Transcribed locus, weakly similar to NP_001074391.1 protein LOC790411 [Bos taurus]"
	
	
	"CDNA clone IMAGE:30346232"
	"Transcribed locus"
"PLXNC1"	"Plexin C1"
	"Transcribed locus, strongly similar to XP_526942.1 similar to protein kinase, AMP-activated, alpha 1 catalytic subunit isoform 2; AMP-activated protein kinase, catalytic, alpha-1; 5-AMP-activated prot"
"COX10"	"COX10 homolog, cytochrome c oxidase assembly protein, heme A: farnesyltransferase (yeast)"
"CREB3L2"	"CAMP responsive element binding protein 3-like 2"
"LOC729515"	"Similar to CG11699-PA"
	"Transcribed locus"
"TNK2"	"Tyrosine kinase, non-receptor, 2"
	"Transcribed locus"
	"Full length insert cDNA clone YY86C01"
"ULK1"	"Unc-51-like kinase 1 (C. elegans)"
	"Transcribed locus"
"GALNT12"	"UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)"
"GINS3"	"GINS complex subunit 3 (Psf3 homolog)"
	
"CAMK1D"	"Calcium/calmodulin-dependent protein kinase ID"
"PAGE4"	"**P antigen family, member 4 (prostate associated)"
"SNAI1"	"Snail homolog 1 (Drosophila)"
"FLJ90650"	"Laeverin"
"SEC14L3"	"SEC14-like 3 (S. cerevisiae)"
"FBXO32"	"F-box protein 32"
	
"TMEM5"	"Transmembrane protein 5"
"MORC4"	"MORC family CW-type zinc finger 4"
	"CDNA: FLJ22750 fis, clone KAIA0478"
	
	"CDNA FLJ41146 fis, clone BRACE2036900"
"TMEM50B"	"Transmembrane protein 50B"
	
"MARCH9"	"Membrane-associated ring finger (C3HC4) 9"
"DDX20"	"DEAD (Asp-Glu-Ala-Asp) box polypeptide 20"
"PPP2R2C"	"**Protein phosphatase 2 (formerly 2A), regulatory subunit B, gamma isoform"
	"Full length insert cDNA clone ZC64A06"
	
"SNX5"	"Sorting nexin 5"
	"Transcribed locus"
	"Transcribed locus, strongly similar to XP_530980.1 hypothetical protein XP_530980 [Pan troglodytes]"
"RPP14"	"Ribonuclease P 14kDa subunit"
"RHOJ"	"Ras homolog gene family, member J"
"ZNF551"	"Zinc finger protein 551"
"DSEL"	"Dermatan sulfate epimerase-like"
"TMEM108"	"Transmembrane protein 108"
"ODF2"	"Outer dense fiber of sperm tails 2"
"THSD1P"	"Thrombospondin, type I, domain containing 1 pseudogene"
"ZNF273"	"Zinc finger protein 273"
	
"ZBTB17"	"Zinc finger and BTB domain containing 17"
"ZNF137"	"Zinc finger protein 137"
"JARID1C"	"Jumonji, AT rich interactive domain 1C"
"TXNDC4"	"**Thioredoxin domain containing 4 (endoplasmic reticulum)"
"THY1"	"Thy-1 cell surface antigen"
"TRA@"	"T cell receptor alpha locus"
"CCT5"	"Chaperonin containing TCP1, subunit 5 (epsilon)"
"SNTA1"	"Syntrophin, alpha 1 (dystrophin-associated protein A1, 59kDa, acidic component)"
"SURF1"	"Surfeit 1"
"SCP2"	"Sterol carrier protein 2"
"MLL4"	"Myeloid/lymphoid or mixed-lineage leukemia 4"
"DOCK3"	"Dedicator of cytokinesis 3"
"ELMO1"	"Engulfment and cell motility 1"
"ALG11"	"Asparagine-linked glycosylation 11 homolog (S. cerevisiae, alpha-1,2-mannosyltransferase)"
"TMEM131"	"Transmembrane protein 131"
"TM9SF4"	"Transmembrane 9 superfamily protein member 4"
"NRAP"	"Nebulin-related anchoring protein"
"CCL19"	"Chemokine (C-C motif) ligand 19"
"BST2"	"Bone marrow stromal cell antigen 2"
"UCK2"	"Uridine-cytidine kinase 2"
"AFF3"	"AF4/FMR2 family, member 3"
"KLRC3"	"Killer cell lectin-like receptor subfamily C, member 3"
	"**Transcribed locus, moderately similar to XP_216490.4 similar to bile acid beta-glucosidase [Rattus norvegicus]"
"ARMCX5"	"Armadillo repeat containing, X-linked 5"
"MTSS1"	"Metastasis suppressor 1"
"KIAA0427"	"KIAA0427"
"ARHGEF9"	"Cdc42 guanine nucleotide exchange factor (GEF) 9"
"SEC14L5"	"SEC14-like 5 (S. cerevisiae)"
